Linear scale (close to the optimum):
		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
	_______________________________________________________________________________________
2	|	21.17	21.8713	22.306	22.4923	22.3288	22.7268	22.9041	22.6735	22.9908	22.6122	22.2648	22.9571	22.9463	22.8423	22.4767	23.0748	22.8922	22.9343	23.4672	22.6189	22.8645	22.8175	22.7675	22.6641	23.7714	22.8011	22.4838	22.7565	22.9942	
3	|	21.2756	21.9938	22.4406	22.4991	22.6542	22.9045	23.1336	22.7146	22.8736	22.5429	23.6149	22.9608	22.7491	22.9183	23.3538	22.4242	22.5515	23.8933	22.6499	22.6727	21.7515	23.261	23.0455	22.374	22.358	22.8225	23.06	22.5303	22.8174	
4	|	21.6882	22.921	22.8289	23.0196	23.0742	23.1794	23.3693	23.2803	23.6077	23.4279	23.1161	23.0507	23.4106	23.3798	22.7918	23.9862	22.0503	22.8353	23.6037	22.4047	21.6035	23.1222	21.4428	22.0278	22.2469	21.9133	22.1998	22.2528	21.911	
5	|	23.2505	23.0822	23.2013	23.3442	23.7876	23.7703	24.0543	24.0781	23.7891	23.4936	23.4389	24.6725	23.5496	23.2995	22.8338	23.694	23.8799	23.1774	24.9525	23.3777	23.5267	24.5424	24.0289	24.8884	25.2343	23.3902	23.6661	23.0264	23.7702	
6	|	22.4913	22.8217	23.0999	23.0393	22.9382	23.1503	23.7047	23.593	23.7869	23.5811	22.9504	23.698	23.7177	23.1542	22.5448	23.0306	23.4085	22.1396	21.9845	23.9412	23.066	22.3221	22.3813	24.0004	23.5102	22.0925	21.7546	23.5122	21.4507	
7	|	22.9352	22.6292	23.533	23.3155	23.4613	23.2017	23.3286	23.4522	23.0803	23.2542	23.4688	22.9599	23.5101	21.8101	22.841	21.5033	21.5193	22.6967	22.9484	23.0387	22.2314	21.8047	22.7715	20.8631	22.5953	21.1975	22.9149	21.1128	20.9597	
8	|	22.1812	23.2699	23.1878	23.5257	23.6063	23.585	23.6382	23.6686	23.65	23.5696	23.1925	23.3101	23.571	23.4692	23.2743	22.2697	23.9784	23.4744	23.244	21.9349	21.8313	22.0336	23.0646	22.3036	22.764	21.0425	23.1311	21.5325	22.2655	
9	|	23.2152	22.9598	24.1395	24.3313	24.8737	24.0239	24.4236	24.9266	24.3406	24.3741	23.685	23.0817	23.4129	21.5935	22.4286	22.1997	20.6929	21.091	20.6819	20.2867	20.783	20.188	20.7587	20.53	20.2189	20.3861	20.5302	20.3951	19.9965	
