Linear scale (close to the optimum):
		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
	_______________________________________________________________________________________
2	|	21.384	21.8032	22.0218	22.4511	22.4526	22.7628	23.5006	23.069	23.4967	22.7169	23.1594	22.8682	23.0161	22.6508	23.1431	22.3697	22.8618	23.208	22.8966	23.7017	22.1125	23.3936	23.3549	21.8219	23.7988	23.4913	22.6798	23.5092	23.4279	
3	|	21.8121	22.2644	22.0488	22.3498	22.4284	22.9146	22.6294	22.6383	22.405	22.9889	22.4845	23.185	22.097	23.0469	22.7477	22.2008	22.7979	22.6674	22.5743	22.9381	22.7369	23.1873	23.0154	21.418	22.4308	22.0248	21.6167	21.832	22.887	
4	|	22.4087	22.7594	22.7701	22.8322	23.5537	23.3482	22.9019	23.2989	22.5222	22.9193	23.1613	23.4745	23.2654	22.6127	22.3467	23.4396	21.448	22.695	23.574	22.8955	23.1412	23.272	23.9053	23.403	21.3983	22.2837	21.7838	22.2121	21.812	
5	|	23.1093	23.5552	24.0197	23.7978	23.6191	23.7679	23.5444	23.6238	23.581	23.7589	23.3251	24.426	23.698	24.7517	23.371	23.1104	23.1868	23.3148	24.3185	23.2615	24.2654	24.551	24.1733	24.6113	24.4887	23.9404	24.8502	23.168	23.4503	
6	|	22.3912	22.8003	23.237	23.2002	23.3264	23.6501	23.8061	23.2932	23.6421	23.1017	23.2891	23.9462	23.5252	23.7284	23.7459	22.9792	23.3101	22.5158	22.1766	22.539	21.9386	23.5245	22.4045	22.2501	22.1086	22.0286	21.4674	21.4752	21.391	
7	|	22.2939	23.089	22.9961	23.5357	23.6342	23.2107	22.9563	23.1707	23.2171	22.9468	23.5327	23.509	22.8983	23.341	22.8415	22.614	21.2541	23.0151	23.2083	22.9091	22.8926	21.4677	20.927	21.0217	21.1062	21.1223	21.04	22.1696	20.9534	
8	|	22.5522	22.6768	23.4001	23.466	23.3914	23.4134	23.392	23.7788	23.9949	23.8776	24.2071	23.3635	23.1466	23.3086	23.509	22.5221	22.9124	22.0587	23.0896	21.1667	23.5824	23.3089	21.937	21.5284	22.6993	22.0647	20.8253	21.0559	20.8752	
9	|	23.7801	23.0003	23.1993	24.1288	24.9117	23.5902	24.362	24.6876	22.2286	23.1771	23.3334	22.007	23.2181	22.1674	22.233	21.719	20.7955	21.3401	20.7415	20.5285	20.8007	19.8994	20.6016	20.4932	20.2633	19.637	20.6108	20.2695	20.5122	
